Category,Text
1,খানকির পোলাদের মাইরা ফালা রোহিঙ্গা সব বিতাড়িত করা দরকার
1,অস্ত্র নির্মান কোন ছোটখাট বিষয় নয় ইহা ভারতিও রাস্টিয় সহায়তা ছারা সম্বভ না
1,এই মালাউনরা বাংগালিদের সাফল্য দেখে হিংসা করে বাহির দেশে বাংলাদেশীদের দেখতে পারেনা এই একটি মাএ জাতি সুতরাং সাবধান
1,পাকিস্তান আমার বাল 
1,তোদের মতো কুত্তার বাচ্চারা সোনিকার মতো মেয়েরা পাইলে শিওর গ্যাংব্যাং দিবি
1,পাকিস্তান আমার বাল
1,এদের কে চোদ্দ বছরে ফাসি দেয়া হোক
1,এজন্য ভারত বাংলাদেশে এসে হোয়াইট ওয়াস হয়েগেছে মনে নেই
0,পাখি উড়ছে
0,মার্চ তেরো দুই হাজার চৌদ্দ পর্যন্ত পুস্তিকাটি আঠারো হাজার তিনশো বার ডাউনলোড করা হয়েছে এবং গণনা করা হয়েছে
1,খানকির পোলাদের মাইরা ফালা রোহিঙ্গা সব বিতাড়িত করা দরকার
1,ইনিই হচ্ছেন ভারতের প্রতিরক্ষামন্ত্রী মনোহর পারিকর  এই কদিন আগেই যিনি ঘোষনা দেন বাংলাদেশ দখল করে মহাভারত গঠন করবেন আশ্চর্য তিনিই কিনা আমাদের বরেন্য রাষ্ট্রীয় অতিথি
1,রেন্ডিয়াকে পৃথীবির মানচিএ থেকে মুচে ফেলতে হবে
1,এই মালাউনরা বাংগালিদের সাফল্য দেখে হিংসা করে বাহির দেশে বাংলাদেশীদের দেখতে পারেনা এই একটি মাএ জাতি সুতরাং সাবধান
1,আমরা বলতে কারা ভারত তাইতো
1,পাকিস্তান আমার বাল
1,তোদের মতো কুত্তার বাচ্চারা সোনিকার মতো মেয়েরা পাইলে শিওর গ্যাংব্যাং দিবি
1,খানকির পোলা রোহিঙ্গারা বাংলাদেশে ঢুকলে কি তোর কোন সমস্যা
1,ভারত মোদের বাঁশভাই দাদারা আসারদরকার নাই ও আশামানে যেকোনভাবে বাংদেশেরকে বাশদিয়েজাবে
1,এদের কে চোদ্দ বছরে ফাসি দেয়া হোক
1,এজন্য ভারত বাংলাদেশে এসে হোয়াইট ওয়াস হয়েগেছে মনে নেই
1,খানকির পোলাদের মাইরা ফালা রোহিঙ্গা সব বিতাড়িত করা দরকার
1,অস্ত্র নির্মান কোন ছোটখাট বিষয় নয় ইহা ভারতিও রাস্টিয় সহায়তা ছারা সম্বভ না
1,এইসব ঐক্যধারীরা বাংলাদেশের একটা ওয়ার্ডের চৌকিদার হওয়ারো যোগ্যতা রাখে না
1,রাজাকার ভাই আপনি খুব উপযুক্ত
1,আর মানুষ পাইলি না জাফর বালডা রে কল দিছোস
1,মাহি বি চোধুরী  এ তো দেখি পুরাই আওয়ামী দালাল
1,যখন পাকিস্তানের দখলে ছিল বাংলাদেশ তখন কিরকম অতযাচার করেছিল পাকিস্তান
1,সত্য ঘটনা  একবার নিবেদিতা হরিয়ানার ময়দানে ইজি চেয়ারে গভীর রাতে বসেছিলেন হঠাত তিনি শুনতে পান যদাযদাহি তাঁর মনে হল ঐ ময় দানের বাঁদিক থেকে ওই মন্ত্র উচ্চারিত হচ্ছে   তিনি ছুটে যান ঐদিকে কিন্তু না অন্য প্রান্তে থেকে সুর ভেসে আসে পরে তিনি মাঝখানে এলেন তিনি শুনতে পেলেন সকল দিক থেকে সুর ভেসে আসছে  তিনি বললেন মহাভারত সত্য কৃষ্ণ সত্য যুদ্ধ সত্য  তিনি আপত্ত জন তাই তাঁর কথা বিশ্বাস করতে ই হবে   প্রমাণের দরকার হয় না
1,জাহান্নামের কীট ভারতীয় মালাউন টা না মরে হাজার মরলে বেশী খুশি হতাম
1,সালা পাগল হিন্দু রা বাংলাদেশে যেভাবে শান্তিতে থাকে ভারতেও এভাবে থাকে না
1,সাবাস পাকিস্তান বাংলাদেশ যেখানে ভারতীয় জানোয়ার গুলির
1,কিছুই হবেনা  সব মিডিয়ার বাড়াবাড়ি  ভারত পাকিস্তানকে পাগলা কুত্তায় কামড়ায়নি যে একজন আরেকজনকে ভয়াবহ আক্রমণ করবে  ওইরকম মাঝেমাঝে দুইচারআটদশজন মরবে  তার বেশিকিছু হবেনা
1,আজকের সো বালের হইছে  জমে নাই
1,মানুষের জীবনটা অভিনয় তবে আপনাদের অভিনয় দেখার জন্য লক্ষ কোটি মানুষ পাগল  বাংলাদেশের বাংলা সিনেমার তারকাদের অভিনয় জনপ্রিয় হয় ওঠেছে  বাংলাদেশের বাংলা সিনেমায় জনপ্রিয় অভিনেতা অভিনেত্রী জম্ম হয়েছে  বর্তমানের বাংলাদেশের বাংলা সিনেমা ভারতীয় সিনেমার চেয়ে কোনো অংশে কম নয়  অবশেষে ভারতের সাথে যৌথ পরিচালনা সিনেমা করাতে ভারতে ও বাংলাদেশের বাংলা সিনেমার জনপ্রিয় হচ্ছে  দুই বাংলা এক সাথে কাজ করা
1,ভারত আসলে পাকিস্তান কে কি পরিমাণ ভয় পায় তা আর বলার অপেক্ষা রাখেনা
1,ছাএ শিবিরের সময় উপযোগী একটি উদোগ  বিরোধিতার জন্য রিরোধিতা না করে সকলে একত্রে এই কমসূচি তে অংশগ্রহন করা দরকার  বারমার মুসলমানরা আওয়ামিলীগ বিএনপি বা জামাতের না  তারা পৃথিবী সকল মুসলমানদের ভাই বোন
1,অন্যের ফাসি নিয়ে কতটা ভয়ংকর হয়ে উঠেছিল এই দিয়াজ আজ সে নিজেই ফাসিতে ঝুলতে হল  পাপে বাপ কে ছাড়েনা বুঝলেন
1,সব টিভি নাট্য শিল্পীরাই কুকুরের দল ভারতের নাটক গুলো বাংলার মা বোনদের খারাপ করা বোঝেনা সে বোঝেনা পাখি সিরিয়ালের সময় শিল্প কি নিচে ঢুকানো ছিল   কই মালাউন চঞ্চল   যদি বন্ধ হয় তবে ভারতে সিরিয়ালের সময় আগে মালাউনদের মুখ খোলা নাস্তিক তৌকির বর্তমানে বাংলার টিভি নাটকে মেয়ে শিল্পীদের ড্রেসের কাহিনী দেখলে ভারতকেও হার মানায় এগুলো পরিবর্তন কর
1,অ্যাটনি জেনারেল পদত্যাগ করলে রাজাকারদের ফাসি দেবে কে
1,দালাল কোথাকার তর য দি লজ্জা থা কে ঐক্যের বেপা রে একটা কথা বল বি না
1,সে গন্ধ নেওয়ার জন্য মালাউনরা দৌরে
1,আমার মনে হয় আপনি দু লাইন বেশি বুঝেন চীন আছে বলেই পাকিস্তান আপনাদের বাঁশ দিতে পারে আর চীনের হাত যার মাথার উপর সে মাথা তুলে দাড়াচ্ছে আফ্রিকার অনেক দেশ চীনের কাছ থেকে সুবিধা নিচ্ছে পাকিস্তানের অস্ত্র চীনের দান অবশ্য এটা মানতে হবে যে ভারত আমাদের ভাল বন্ধু
1,এবং জামাত শিবির কে নিয়ে সম্মেলন করুক পাকিস্তান
1,শুধু বাংলাদেশ আর ভারতের লড়াইয়ে ভারত এগিয়ে
1,বাল পাকনা ভালো  এত বেশি বাল পাকনা ভালো না
1,তুই মরবি  হাসপাতাল নিয়ে যাবার জন্য সবাই কে ডাকবি কিন্তু কাউকে পাবি না  সবাই ভাববে প্রাংক
1,রোহিঙ্গাদের এই সমস্যা দীর্ঘদিনের যা কিনা শুধু বাংলাদেশ নামক রাষ্টটি তার বর্ডার খুলে দিলেই সমস্যার সমাধান হবে না রোহিঙ্গাদের নিয়ে আন্তর্জাতিক একটি গুষ্ঠি এক ধরনের খেলা খেলতেছে যা কিনা আপনাদের মত আবেগীরা ঠিক মত বুঝে উঠার আগেই চিল্লাইয়া ভরে ফেলছেন এরা মুসলিম এরা আমাদের ভাই এদের কে জায়গা দেওয়া হোক আগেরা বাগেরা টাইপের আবেগী কথা বলে  শুনেন রোহিঙ্গাদের আশ্রয়ের সাথে মুক্তিযুদ্ধের সময়ের বাংলাদেশের শরনার্থীদের ভারতের আশ্রয় তুলনা করে যখন কথা বলেন তখন শিউর হই আপনি শধু একজন উগ্রবাদী আর কিছু না
1,গরুর হাটের ধোলাই ও মাফ চাওয়াটা কেমন ছিলো  আবাল
1,পৃথিবীর মাঝে সবচেয়ে অভদ্র আর জানয়ার বলতে একটা দেশই রয়েছে তার নাম পাকিস্তান আর বাংগালী এক জানয়ার কমেন্টে লিখেছে টাকা ফেরত দিতে এইহল আমাদের বাংলাদেশ আর রাজাকার তবে আমার মতে যারা পাকিদের সুরে গানগায় তাদের পাকিস্তান চলে যাওয়া উচিত আমরা বিরেরজাতি হারতে শিখিনী বিজয়ী হয়েছি সেটাও যানা আছে তাদের সেই সাহস নেই টাকা চাওয়ার কুত্তা শুধূ ঘৈও ঘৈও ই করতে যানে আর কুত্তাকে কিভাবে ঔষদ দিতে হয় ভাঙালিরা যানে
1,তসলিমা নাসরিনের মত তুমি ও টাকা পাও কাফের
1,সেটা কোর্টে বল ভারতে আসতে এত ভয় কিসের  বাপ মারা গেলো তাও এলিনা  এখন সাম্প্রদায়ীক তাস খেলছিস  এতে কোনো লাভ হবে বলে মনে হয়না  পারলে ভারতে আয় কোর্টে যা নিজেকে নির্দোষ প্রমান কর
1,মেয়েরা বেকুবই হয় নতুন কিছু না হা হা হা
1,মাননীয় প্রধান মন্ত্রী আপনাকে বলছি স্বরন করুণ সেই এর কথা যেদিন আমাদের দেশের জনগণ এরুপ একটি পরিস্থিতির মোকাবিলা করেছিল আমাদের দেশের অসহায় জনগণ সেদিন বিধর্মী রাষ্ট্র ভারত তাদের সিমান্তকে উন্মক্ত করে দিয়ে কোটার ও বেশি স্বরনার্থীকে আশ্রয় দেয় কিন্তু পরিস্থিতি অনুকুলে আশায় বাংলার জনগণ আবার বাংলায় ফিরে আর আমি ও চায় এই রোহিঙ্গাদের এমন একটি সুজোগ দেওয়া হোক দুর্দিন সারাজীবন থাকেনা সু দিন ও আসে যেমনি এসেছে বাংলাদেশের আরা সেই দিনের কথা স্বরন করে ভারতকে আজও সম্মানের আসন উন্মক্ত করে দেওয়া হয় আমি
1,ওই কুকুরের বাচ্চা মেয়ে দেখলে দন খারা হয়ে যাই নাকি সালার
1,ভারতীয় সীমান্তরক্ষী বাহিনী বিএসএফ চীন সীমান্তে দুইজন চীনা নাগরিককে গুলি করে কি হত্যা করতে পারবে  নিশ্চই না  চীনা নাগরিককে গুলি করে হত্যার সঙ্গে সঙ্গেই যুদ্ধ শুরু হত  পাক ভারত সীমান্তেও ভারতীয় সীমান্তরক্ষী বাহিনী এই দুইজন পাকিস্তানী নাগরিককে গুলি করে হত্যা করতে পারবে না  বাংলাদেশ ভারতের বন্ধু রাষ্ট্র বাংলাদেশ ছোট রাষ্ট্র পাকিস্তান চীনের মতো শক্তি বাংলাদেশের নাই  মানলাম যে দুজন বাংলাদেশি বিএসএফের গুলিতে নিহত হয়েছে তারা চোরাকারবারি মাদক ব্যবসায়ী হয়তোবা তারা গরু আনতে গিয়েছিল ভারতের সীমান্তে
1,এমন একটা পাইলে এক কম করে হলেও এক রাতে চারটি সট দিতাম
1,এরা আসলেই রাজাকার তাই না কখন ও বড়ুই গাছে উঠছেন না উঠে থাকলে আজই গাছে উঠে দেখবেন নিচের দিকে একজন কে কয় জন দেখা যায় রাজাকার বলছেন বি এন পি কে দেখুন তো এদের নাম জানেন কি খনদকার মোশারফ যিনি শেখ হাসিনার বেয়াই মহিউদদিন আলমগীর মোজাফফর যিনি আওয়ামীলীগ এর সভাপতিমনডলির সদস্য আরো দেখাবো না জানি কষট পাবেন মনে রাখবেন কথায় বলে এক মাঘে শীত যায় না মাঘ আবার ঘুরে ফিরে আসবেই যতোটুকু লিখলাম তার ভিতর সুই ডুকানোর হিমমত থাকলে বলবেন আমায় আমি মুক্তিযোদ্ধা আমাকে করা কষট ক
1,বড় ধোঁকাবাজ  তারা কাফেরদের পক্ষে বড় আগুয়ান গলাবাজ আর মুসলিম নির্যাতনের বিরুদ্ধে তাদের মুখে ঠুসি পরানো থাকে  পশ্চিমাদের একনিষ্ঠ দালাল  আল্লাহর দুশমন  এখন শেষ বেলায় এসে খুব দরদ দেখানো হচ্ছে  এসব ভন্ডামি আমরা বুঝি কোথায় গেছে আজ জাতিসংঘ  ওয়াইসিও কোথায়   হিন্দু নির্যাতিত হলে ভারত কাঁদে খৃষ্টান হলে আমেরিকা কাঁদে ইহুদি হলে ইজরাইল কাঁদে বৌদ্ধ হলে চীন কাঁদে মুসলমান নির্যাতিত হলে কোন দেশ কাঁদে না মিয়ানমারে রোহিঙ্গাদের প্রতি বর্বর নির্যাতন দেখে আমাদের কি একটুও মন কাঁধে না   এই কেমন ন
1,কিছু লিখলেই জিয়া পরিবার বিএনপি রাজাকার শিবির জামাত আরে ভাই এটা গনতন্ত্রদেশ সবাইকে বলার অধিকার দিয়েছে তাই আমি বলেছি  তাতে আপনাদের গাঁ জলে কেন  চোরের মন পুলিশ পুলিশ তাই না
0,মার্চ তেরো দুই হাজার চৌদ্দ পর্যন্ত পুস্তিকাটি আঠারো হাজার তিনশো বার ডাউনলোড করা হয়েছে এবং গণনা করা হয়েছে
0,"বুকলেটের ডাউনলোড বাড়াতে সাহায্য করার জন্য, সমস্ত স্টর্মফ্রন্টার যাদের ইউটিউব অ্যাকাউন্ট আছে, তারা তাদের আপলোড করা ইউটিউব ভিডিওগুলির বর্ণনা বাক্সে নিম্নলিখিত পাঠ্যটি প্রদর্শন করতে পারলে এটি দুর্দান্ত হবে"
0,আপনার ইউটিউব ভিডিওর বর্ণনা বাক্সে নিচের লেখাটি কপি করে পেস্ট করুন
1,পশ্চিমা সভ্যতার ইহুদিবাদী-ইঞ্জিনিয়ার্ড ইচ্ছাকৃত ধ্বংসের উপর একটি রঙিন চিত্রিত একশো বত্রিশ পৃষ্ঠার ই-বুক বিনামূল্যে ডাউনলোডের জন্য নীচে ক্লিক করুন
